id,plan_id,plan_version,cited_scenario_id,plan_trade_date,plan_session,source,side,entry_quantity,entry_time,exit_time,entry_price,exit_price,pnl_corrected,close_reason,mae,mfe,eligible
521,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,2026-08-19,LONDON,system,SHORT,1.0,1787127723941,1787132616909,29623.5,29554.5,138.0,sync,16.0,71.25,True
522,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S3,2026-08-19,LONDON,system,SHORT,1.0,1787141851173,1787142784995,29558.25,29588.5,-60.5,sync,49.25,10.25,True
523,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,2026-08-19,NY,system,SHORT,1.0,1787148412409,1787148669853,29466.5,29407.5,118.0,sync,11.5,79.5,True
524,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,2026-08-19,NY,system,SHORT,1.0,1787156295776,1787160091498,29650.75,29514.0,273.5,sync,16.5,137.5,True
525,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S1,2026-08-19,ASIA,system,LONG,1.0,1787181724764,1787183980456,29647.0,29625.5,-43.0,sync,21.75,19.75,True
526,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,2026-08-19,ASIA,system,SHORT,1.0,1787189302092,1787192187436,29626.25,29660.964286,-69.42857199999708,sync,57.5,2.75,True
527,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,2026-08-19,ASIA,system,SHORT,1.0,1787197048862,1787198834030,29604.5,29648.5,-88.0,sync,44.25,5.0,True
528,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,2026-08-20,LONDON,system,SHORT,1.0,1787214391412,1787220704886,29503.25,29552.0,-97.5,sync,49.0,48.0,True
529,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,2026-08-20,LONDON,system,SHORT,1.0,1787221593307,1787224917648,29539.25,29455.25,168.0,sync,43.75,91.0,True
530,UNRESOLVABLE,2,off-plan,,,system,SHORT,1.0,1787231522210,1787231726009,29342.25,29335.75,13.0,sync,6.25,10.0,False
531,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S3,2026-08-20,NY,system,LONG,1.0,1787233297689,1787233704110,29443.75,29370.0,-147.5,sync,75.0,16.25,True
532,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,2026-08-20,NY,system,SHORT,1.0,1787236917055,1787249147278,29395.75,29240.25,311.0,sync,61.5,156.75,True
533,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,2026-08-20,ASIA,system,SHORT,1.0,1787266758375,1787271163275,29322.25,29349.5,-54.5,sync,30.25,36.0,True
534,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,2026-08-20,ASIA,system,SHORT,1.0,1787271748349,1787276995308,29332.25,29365.25,-66.0,sync,36.75,40.5,True
535,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,2026-08-20,ASIA,system,SHORT,1.0,1787278123499,1787278857194,29360.75,29376.25,-31.0,sync,17.75,7.0,True
536,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,2026-08-20,ASIA,system,SHORT,1.0,1787279779762,1787286454106,29393.0,29331.0,124.0,sync,6.75,62.25,True
537,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,2026-08-20,ASIA,system,SHORT,1.0,1787289910852,1787294140952,29360.25,29400.0,-79.5,sync,42.0,20.25,True
538,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,2026-08-20,ASIA,system,SHORT,1.0,1787294426615,1787294701430,29388.25,29373.0,30.5,sync,2.75,16.25,True
