id,source,plan_id,plan_version,cited_scenario_id,plan_session,plan_band,entry_time,exit_time,side,entry_price,exit_price,pnl_corrected,mae,mfe
521,system,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,LONDON,,1787127723941,1787132616909,SHORT,29623.5,29554.5,138.0,16.0,71.25
522,system,2026-08-19:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S3,LONDON,,1787141851173,1787142784995,SHORT,29558.25,29588.5,-60.5,49.25,10.25
523,system,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,NY,,1787148412409,1787148669853,SHORT,29466.5,29407.5,118.0,11.5,79.5
524,system,2026-08-19:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,NY,,1787156295776,1787160091498,SHORT,29650.75,29514.0,273.5,16.5,137.5
525,system,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S1,ASIA,,1787181724764,1787183980456,LONG,29647.0,29625.5,-43.0,21.75,19.75
526,system,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,ASIA,,1787189302092,1787192187436,SHORT,29626.25,29660.964286,-69.42857199999708,57.5,2.75
527,system,2026-08-19:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,ASIA,,1787197048862,1787198834030,SHORT,29604.5,29648.5,-88.0,44.25,5.0
528,system,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,LONDON,,1787214391412,1787220704886,SHORT,29503.25,29552.0,-97.5,49.0,48.0
529,system,2026-08-20:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,LONDON,,1787221593307,1787224917648,SHORT,29539.25,29455.25,168.0,43.75,91.0
531,system,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S3,NY,,1787233297689,1787233704110,LONG,29443.75,29370.0,-147.5,75.0,16.25
532,system,2026-08-20:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,NY,,1787236917055,1787249147278,SHORT,29395.75,29240.25,311.0,61.5,156.75
533,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,ASIA,,1787266758375,1787271163275,SHORT,29322.25,29349.5,-54.5,30.25,36.0
534,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,ASIA,,1787271748349,1787276995308,SHORT,29332.25,29365.25,-66.0,36.75,40.5
535,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,ASIA,,1787278123499,1787278857194,SHORT,29360.75,29376.25,-31.0,17.75,7.0
536,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,ASIA,,1787279779762,1787286454106,SHORT,29393.0,29331.0,124.0,6.75,62.25
537,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,ASIA,,1787289910852,1787294140952,SHORT,29360.25,29400.0,-79.5,42.0,20.25
538,system,2026-08-20:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,ASIA,,1787294426615,1787294701430,SHORT,29388.25,29373.0,30.5,2.75,16.25
540,system,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,LONDON,,1787306680461,1787310076685,LONG,29509.0,29460.0,-98.0,50.0,6.5
541,system,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,LONDON,,1787311607785,1787318022696,LONG,29511.75,29470.25,-83.0,42.25,28.0
542,system,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,NY,,1787320143292,1787322462787,SHORT,29310.0,29310.0,0.0,35.5,89.75
543,system,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,NY,,1787325163217,1787326470700,SHORT,29355.75,29400.0,-88.5,45.0,25.0
544,system,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S1,NY,,1787327265787,1787327509227,SHORT,29445.0,29475.75,-61.5,31.5,19.5
547,system,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,NY,,1787580585134,1787581850877,SHORT,28968.75,29038.5,-139.5,73.25,15.25
548,system,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,NY,,1787583313785,1787585344309,SHORT,29092.75,29120.0,-54.5,44.75,58.5
549,system,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,S2,NY,,1787588810349,1787594145174,SHORT,29201.5,29116.75,169.5,10.5,85.5
550,system,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,ASIA,,1787622214378,1787625115057,SHORT,29123.75,29166.0,-84.5,42.5,20.25
551,system,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,ASIA,,1787625786798,1787627344859,SHORT,29163.0,29163.0,0.0,0.5,69.75
552,system,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,ASIA,,1787627825020,1787627988172,SHORT,29166.25,29170.0,-7.5,5.5,10.0
553,system,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,ASIA,,1787630586859,1787630723285,SHORT,29178.5,29192.0,-27.0,18.0,0.0
554,system,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,LONDON,,1787641758864,1787646277376,SHORT,29269.0,29300.0,-62.0,58.75,58.0
555,system,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,LONDON,,1787649559289,1787651863713,LONG,29328.0,29412.0,168.0,22.5,92.0
556,system,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,LONDON,,1787655848500,1787656183070,LONG,29336.0,29316.0,-40.0,33.5,0.75
557,system,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,LONDON,,1787656476930,1787661054988,LONG,29337.5,29360.75,46.5,17.25,71.75
558,system,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,LONDON,,1787662601774,1787663702041,LONG,29339.25,29328.0,-22.5,27.5,5.75
559,system,2026-08-25:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S4,NY,,1787667281458,1787668202197,LONG,29246.25,29207.0,-78.5,100.75,23.5
560,system,2026-08-25:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S3,NY,,1787683989352,1787686216895,SHORT,29263.0,29222.5,81.0,3.0,50.5
561,system,2026-08-25:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,S1,ASIA,,1787703104205,1787703939651,LONG,29221.25,29195.25,-52.0,30.0,17.5
562,system,2026-08-26:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,LONDON,,1787728926645,1787742109269,SHORT,29212.0,29261.25,-98.5,51.25,25.75
563,system,2026-08-26:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,S1,LONDON,,1787742765384,1787744284225,LONG,29244.0,29219.25,-49.5,29.5,34.75
564,system,2026-08-27:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S3,LONDON,,1787822385609,1787823144273,SHORT,29585.25,29619.75,-69.0,36.75,6.75
565,system,2026-08-27:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S1,LONDON,,1787827992777,1787828737791,SHORT,29580.0,29611.25,-62.5,32.75,4.25
567,reconcile,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,12,S1,ASIA,armed_fill,1787898124014,1787900267898,SHORT,29621.0,29642.0,-42.0,21.5,28.5
568,reconcile,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S1,LONDON,armed_fill,1787919586429,1787919782166,SHORT,29642.0,29658.0,-32.0,17.0,1.75
569,reconcile,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S1,NY,armed_fill,1787924668684,1787924728951,SHORT,29700.0,29668.5,63.0,0.0,36.0
570,reconcile,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S2,NY,armed_fill,1787937021714,1787942914951,LONG,29463.25,29471.75,17.0,14.5,66.25
575,reconcile,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,NY,armed_fill,1788188358333,1788189328351,SHORT,29437.0,29420.75,32.5,6.0,41.5
578,reconcile,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S1,NY,armed_fill,1788197208950,1788199848747,LONG,29413.0,29459.0,92.0,24.75,47.25
581,system,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,LONDON,,1788249164041,1788249993712,SHORT,29466.0,29370.75,190.5,2.5,73.5
582,armed_entry,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,LONDON,,1788258208858,1788260734279,SHORT,29246.75,29182.0,129.5,11.25,69.25
583,system,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,LONDON,,1788262504776,1788263807259,LONG,29213.25,29172.0,-82.5,43.25,25.0
584,reconcile,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S2,LONDON,armed_fill,1788269807953,1788269899464,SHORT,29138.0,29085.0,106.0,0.0,58.0
